vn,ve,vd
0.370000005,0.550000012,0.419999987
0.370000005,0.550000012,0.419999987
0.370000005,0.550000012,0.419999987
0.370000005,0.550000012,0.419999987
0.370000005,0.550000012,0.419999987
0.370000005,0.550000012,0.419999987
0.449999988,0.340000004,0.529999971
0.449999988,0.340000004,0.529999971
0.449999988,0.340000004,0.529999971
0.449999988,0.340000004,0.529999971
0.449999988,0.340000004,0.529999971
0.449999988,0.340000004,0.529999971
0.280000001,0.25,0.519999981
0.280000001,0.25,0.519999981
0.280000001,0.25,0.519999981
0.280000001,0.25,0.519999981
0.280000001,0.25,0.519999981
0.280000001,0.25,0.519999981
0.269999981,0.589999974,0.519999981
0.269999981,0.589999974,0.519999981
0.269999981,0.589999974,0.519999981
0.269999981,0.589999974,0.519999981
0.269999981,0.589999974,0.519999981
0.269999981,0.589999974,0.519999981
0.02,0.149999991,0.259999991
0.02,0.149999991,0.259999991
0.02,0.149999991,0.259999991
